,Id,createdAt,MEASUREMENT_START_TIME,MEASUREMENT_START_UNIXTIME,CHUNK_COUNT,CALIBRATED_SAMPLINGRATE,device,gateway,TEMPERATURE,CLEARANCE_1,CLEARANCE_2,CLEARANCE_3,CREST_1,CREST_2,CREST_3,GRMS_1,GRMS_2,GRMS_3,KURTOSIS_1,KURTOSIS_2,KURTOSIS_3,SKEWNESS_1,SKEWNESS_2,SKEWNESS_3,VRMS_1,VRMS_2,VRMS_3,PEAK_1,PEAK_2,PEAK_3,SUM_1,SUM_2,SUM_3,PEAK_TO_PEAK_1,PEAK_TO_PEAK_2,PEAK_TO_PEAK_3,0_Data,1_Data,3_Data,4_Data,5_Data,6_Data,7_Data,8_Data
0,63d25409e3e9ba0023776a97,2023-01-26T10:20:57.940000Z,20:15:26:22:01:1970,1887323,8,13440,CA:B8:31:00:00:21,CA:B8:28:00:00:82,29.14,33.576148572927686,40.32185098467097,43.6847222477676,13.705130525205297,18.249619626299715,16.52280515349021,0.15106130094815318,0.16209017201169906,0.12235861602374917,31.0439523048756,33.46118277307615,54.72319313983536,-0.017796086357291588,-1.9289375214488258,0.060065282767381524,0,0,0,2.070314846801758,2.958083984375,2.0217075714111328,1411.1797485351562,21039.12109375,-439.03424072265625,3.99951171875,3.9058837890625,3.99951171875,,,,,,,,
1,63d25b16e3e9ba0023776aa4,2023-01-26T10:51:02.262000Z,20:45:30:22:01:1970,1889127,8,13449,CA:B8:31:00:00:21,CA:B8:28:00:00:82,33.43,20.68043888703212,22.26663212950269,27.178993905395586,9.74342634278043,11.731057890457187,11.846340434803864,0.21410136760535853,0.2570101849454538,0.17003299654374493,21.023410920210686,14.748185722745381,31.51137820217441,-0.329692600871931,-1.35374795030668,0.20694813502257622,0,0,0,2.086080905151367,3.015001358032227,2.014268762207031,1726.5009155273438,20992.16583251953,-290.258056640625,3.99951171875,3.96514892578125,3.99951171875,,,,,,,,
2,63d2621fe3e9ba0023776ab1,2023-01-26T11:21:03.973000Z,21:15:32:22:01:1970,1890929,8,13440,CA:B8:31:00:00:21,CA:B8:28:00:00:82,33.18,16.737013314449033,21.6741035168591,25.51359554207869,10.138322187584878,12.665073564456874,14.944838732600916,0.05718470265299131,0.0707539813892024,0.04419178758705857,8.912359287033853,10.287772091197848,13.530759345623318,0.09895256500544493,0.04063755807414496,-0.0915573648912847,0,0,0,0.5797569396972656,0.896104379272461,0.6604391387939453,1716.6287841796875,21123.99188232422,-323.93206787109375,1.15704345703125,1.71966552734375,1.246337890625,,,,,,,,
3,63d26bf6e3e9ba0023776ac5,2023-01-26T12:03:02.674000Z,21:57:33:22:01:1970,1893450,8,13440,CA:B8:31:00:00:21,CA:B8:28:00:00:82,39.89,29.117297524206766,32.90808663385896,37.22793674505548,14.231073544828014,18.35036992711336,17.8858284470869,0.14783364059753296,0.16661112502592415,0.11246145273958291,36.9429535591924,28.148445121615655,51.927396016458985,-0.0600152867867741,-1.6724689417248904,0.004880322655265684,0,0,0,2.103831411743164,3.0573757781982422,2.0114662506103516,2081.5110473632812,21152.398376464844,-234.20782470703125,3.99951171875,3.99951171875,3.96563720703125,,,,,,,,
4,63d27301e3e9ba0023776ad6,2023-01-26T12:33:05.446000Z,22:27:38:22:01:1970,1895255,8,13431,CA:B8:31:00:00:21,CA:B8:28:00:00:82,38.57,14.942628198971596,15.2020358972141,19.269651237506338,7.0112763556722735,8.166097396588864,8.934939331789657,0.297927162102015,0.3408445785617782,0.2258180836098703,10.197918643693928,7.20123290704611,14.283699793940421,-0.10619713056512942,-0.668776893945689,-0.0457100366587062,0,0,0,2.0888496673583985,2.7833700256347655,2.0176708770751954,1781.8761596679688,20954.265747070312,-358.30035400390625,3.99951171875,3.73541259765625,3.99951171875,,,,,,,,
5,63d28ec9e3e9ba0023776b00,2023-01-26T14:31:37.628000Z,01:38:59:23:01:1970,1906736,8,13440,CA:B8:31:00:00:21,CA:B8:28:00:00:82,35.01,12.069155100410306,13.316885476296749,17.003634028320786,6.445033877631604,7.365112790671924,8.85262401875187,0.29824017093878247,0.3697086563043286,0.22349932471109968,6.148013748479516,6.150656427673853,10.332827751321775,-0.06164243164108616,-0.6100159160316805,0.04259908730313446,0,0,0,1.9221680053710937,2.7229459533691407,1.9785554901123046,1551.757080078125,20931.087036132812,-424.00738525390625,3.837890625,3.6761474609375,3.944580078125,,,,,,,,
6,63d299a6e3e9ba0023776b13,2023-01-26T15:17:58.104000Z,02:25:43:23:01:1970,1909540,8,13431,CA:B8:31:00:00:21,CA:B8:28:00:00:82,35.15,10.99544289926742,11.407623345893203,14.015912104181876,6.256145786434852,6.78055415066652,7.908816680774355,0.3325284561214329,0.40915409015068316,0.24982558717301187,5.78074128274608,4.687371703906733,6.626986776841103,-0.07420619469756898,-0.546055121473235,0.01537317869487294,0,0,0,2.080346499633789,2.7742914642333982,1.975824771118164,1611.8128051757812,20823.96405029297,-396.83465576171875,3.99951171875,3.73284912109375,3.7789306640625,,,,,,,,
7,63d2a0f4e3e9ba0023776b22,2023-01-26T15:49:08.406000Z,02:56:25:23:01:1970,1911381,8,13431,CA:B8:31:00:00:21,CA:B8:28:00:00:82,36.85,12.170469726664951,9.496574270322256,13.997093384834487,7.231727218032295,5.962758031618692,7.868256272285448,0.214279235734901,0.217944140640576,0.15945600137639773,6.4484038230085154,4.50158378046486,8.189649258106215,0.008402809462239683,-0.07549002995390265,0.011860307266546435,0,0,0,1.549608981323242,1.299548175048828,1.2546406829833985,1747.7948608398438,21102.047485351562,-355.18438720703125,3.05364990234375,2.24420166015625,2.44085693359375,,,,,,,,
8,63d2a825e3e9ba0023776b2d,2023-01-26T16:19:49.363000Z,03:27:06:23:01:1970,1913222,8,13431,CA:B8:31:00:00:21,CA:B8:28:00:00:82,36.41,20.998877230953312,26.223186766445227,28.301291469174924,9.976041646769067,14.6957281525412,13.214433239743032,0.20887750458512994,0.20786356840796638,0.152790572988303,20.94374549772031,14.27420730829209,34.555195542625164,-0.10837008491606809,-0.9174364481847256,-0.13418088517046817,0,0,0,2.083770684814453,3.054706494140625,2.0190408264160156,1680.2965087890625,21099.0126953125,-385.6993408203125,3.99951171875,3.99951171875,3.99951171875,,,,,,,,
9,63d2af32e3e9ba0023776b3c,2023-01-26T16:49:54.527000Z,03:57:11:23:01:1970,1915027,8,13440,CA:B8:31:00:00:21,CA:B8:28:00:00:82,38.01,25.510928570939033,29.290347815404036,33.7615920834578,11.703820462376875,15.838286469267427,15.142910073130786,0.17835072852629372,0.1928205320093173,0.13323178971245958,29.081425456177314,21.629511793952783,42.538833843606575,-0.06687541198092026,-1.3202871340767617,0.11487860404900695,0,0,0,2.08738490600586,3.0539468231201172,2.0175170104980467,1752.5809326171875,21083.819274902344,-355.2230224609375,3.99951171875,3.99951171875,3.99951171875,,,,,,,,
